"recipe_id","level_id","primary_agent","path","output"
"recipe.router_intake_classification","00_ROUTER","rey.control_plane_orchestrator","D:\.agents\codex\recipes\recipe.router_intake_classification.md","routing_decision"
"recipe.gate_decision_packet","01_AUTORIDAD_Y_GATES","rey.frontier_guardian","D:\.agents\codex\recipes\recipe.gate_decision_packet.md","gate_packet"
"recipe.registry_enrichment","02_REGISTRO_Y_CARTOGRAFIA","rey.governance_registrar","D:\.agents\codex\recipes\recipe.registry_enrichment.md","registry_delta"
"recipe.migration_preflight","02_REGISTRO_Y_CARTOGRAFIA","rey.migration_planner","D:\.agents\codex\recipes\recipe.migration_preflight.md","migration_preflight"
"recipe.openai_prompt_pack_json_short","03_CORTE_EJECUTORA","court.openai_dispatcher","D:\.agents\codex\recipes\recipe.openai_prompt_pack_json_short.md","prompt_pack"
"recipe.schema_tool_contract","03_CORTE_EJECUTORA","court.thot_schema","D:\.agents\codex\recipes\recipe.schema_tool_contract.md","schema_contract"
"recipe.evidence_acta_closeout","03_CORTE_EJECUTORA","court.seshat_evidence","D:\.agents\codex\recipes\recipe.evidence_acta_closeout.md","readback_acta"
"recipe.universe_tower_handoff","04_TORRES_DE_UNIVERSO","universe.escribania_tower","D:\.agents\codex\recipes\recipe.universe_tower_handoff.md","tower_handoff"
"recipe.workspace_reference_audit","05_SOPORTE_TECNICO","codex.workspace_guardian","D:\.agents\codex\recipes\recipe.workspace_reference_audit.md","workspace_reference_readback"
"recipe.d_drive_agent_layer_enrichment","02_REGISTRO_Y_CARTOGRAFIA","rey.governance_registrar","D:\.agents\codex\recipes\recipe.d_drive_agent_layer_enrichment.md","enrichment_delta"
"recipe.matrix_recipe_skill_sync","03_CORTE_EJECUTORA","court.thot_schema","D:\.agents\codex\recipes\recipe.matrix_recipe_skill_sync.md","sync_delta"
"recipe.governed_readback_closeout","03_CORTE_EJECUTORA","court.seshat_evidence","D:\.agents\codex\recipes\recipe.governed_readback_closeout.md","readback_closeout"
"recipe.repo_agent_tool_governance","01_AUTORIDAD_Y_GATES","rey.authority_canonist","D:\.agents\codex\recipes\recipe.repo_agent_tool_governance.md","governance_decision"
"recipe.agent_workpaper_operation","03_CORTE_EJECUTORA","court.seshat_evidence","D:\.agents\codex\recipes\recipe.agent_workpaper_operation.md","agent_workpaper_packet"
"recipe.sharepoint_complete_read_order","01_AUTORIDAD_Y_GATES","court.sdu_gate","D:\.agents\codex\recipes\recipe.sharepoint_complete_read_order.md","sharepoint_complete_read_order_packet"
"recipe.agent_surface_capability_assignment","04_TORRES_DE_UNIVERSO","universe.escribania_tower","D:\.agents\codex\recipes\recipe.agent_surface_capability_assignment.md","surface_capability_assignment"
