repo_id,repository_full_name,local_path,universe_id,github_base_role,branch_rule,pr_rule,merge_rule,status,notes
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,ROOT_CONTROL_PLANE,"base transversal de cabina e indice de repos","codex/*","draft PR obligatorio para cambios durables","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",ACTIVE_ROOT_GITHUB_BASE,"base cabina-universal-d; no absorbe repos anidados"
ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,ROOT_CONTROL_PLANE,"repo rector documental separado indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",ACTIVE_SEPARATE_REPO,"PR rector activo #40; conserva remoto propio; cabina-universal-d gobierna indice"
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,ESCRIBANIA,"repo de universo con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"estado local limpio verificado; no absorber; cabina-universal-d gobierna indice"
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,ESCRIBANIA,"runtime contextual Escribania con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"live Escribania se clasifica por efecto; solo HIGH requiere autorizacion explicita"
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,ESCRIBANIA,"repo cumplimiento con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"datos regulados siempre filtrados; decisiones profesionales HUMAN_RESERVED"
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,MODO_ON,"repo proveedor Microsoft/CDF con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"Microsoft live READ directo y LOW sin orden; solo HIGH requiere autorizacion"
JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,MODO_ON,"repo proveedor consultivo con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"capacidad sobre cliente real se clasifica por efecto y target exacto"
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,MODO_ON,"foundation Modo ON con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"SharePoint READ directo; writes clasificados LOW/HIGH por efecto"
SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,COURT,"canon tecnico SDU con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"canon valida significado; no ejecuta tenant; cabina-universal-d gobierna indice"
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,COURT,"bootstrap Seshat/SDU con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"remote clone registrado; riesgo se clasifica por efecto; cabina gobierna indice"
SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,COURT,"Seshat SGIN con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"conservar repo propio; cabina-universal-d gobierna indice"
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,COURT,"runtime control TCU con remoto propio indexado por cabina-universal-d","codex/*","draft PR obligatorio","MANUAL_OWNER_GATED: fixed HEAD, green checks, explicit owner decision, postcheck",REMOTE_REQUIRED_GITHUB_ROUTE,"runtime live se clasifica por efecto; solo HIGH requiere autorizacion explicita"
