"repo_path","branch","remote","dirty_count","status_class","governance_route"
"C:\Users\enzo1\Documents\GitHub\organizacion","codex/d-drive-governance-versioning-20260601","origin	https://github.com/universo-rey/organizacion.git (fetch)","0","clean","versioned_in_current_draft_pr"
"C:\Users\enzo1\Documents\GitHub\sdu-canon","main","origin	https://github.com/SeshatSgin/sdu-canon.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","codex/seshat-global-live-governance-20260601","origin	https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git (fetch)","0","clean_native_agentic_alignment_pr_open","native_closeout_pr_4_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\Sgin","main","origin	https://github.com/universo-rey/Sgin.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","main","origin	https://github.com/SeshatSgin/tcu-agentic-runtime-control.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","main","origin	https://github.com/SeshatSgin/sgin-cumplimiento.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","codex/tge-court-order-adapter-alignment-20260601","origin	https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania","codex/tge-universal-repo-authority-map-20260601","origin	https://github.com/SeshatSgin/torre-gemela-escribania.git (fetch)","0","clean_native_closeout_pr_open","native_closeout_pr_70_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania\09_REPOS_NUEVOS\seshat-bootstrap-sdu-cn","codex/seshat-tge-court-order-handoff-20260601","origin	https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\cdf-soluciones","codex/cdf-dual-codespace-cabina-prep","origin	https://github.com/SeshatSgin/cdf-soluciones.git (fetch)","0","clean_native_closeout_pr_open","native_closeout_pr_23_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\jara-consultores","main","origin	https://github.com/SeshatSgin/jara-consultores.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
"C:\Users\enzo1\Documents\GitHub\modo-on-foundation","main","origin	https://github.com/SeshatSgin/modo-on-foundation.git (fetch)","0","clean","registered_do_not_mix_in_organizacion_commit"
